EX_Id,GA_Id,DisplayOrder,Type,Name,Path,EA,Data
1,8,4,0,"Cover (US Gold)","Cover\0\10th_Frame_(US_Gold).jpg",0,""
2,13,1,0,"Cover","Cover\0\180.jpg",0,""
3,14,2,0,"Cover","Cover\0\19_Part_One_-_Boot_Camp.jpg",0,""
4,15,0,0,"Cover (ECP)","Cover\0\1942_(ECP).jpg",0,""
5,17,2,0,"Cover [4 Action Hits]","Cover\_\4_Action_Hits.jpg",0,""
6,35,0,0,"Manual p.1","gazette!\1984\12dec\dec84-3-DLabyrinthA.jpg",0,""
7,35,1,0,"Manual p.2","gazette!\1984\12dec\dec84-3-DLabyrinthB.jpg",0,""
8,38,0,0,"Manual p.1","gazette!\1988\04apr\apr88-3-DSpeedwayA.jpg",0,""
9,38,1,0,"Manual p.2","gazette!\1988\04apr\apr88-3-DSpeedwayB.jpg",0,""
10,49,2,0,"Manual","gazette!\1984\06jun\jun84-3-DTic-Tac-Toe.jpg",0,""
11,61,2,0,"Cover (Accolade)","Cover\0\4th_and_Inches_(Accolade).jpg",0,""
12,65,1,0,"Cover (EDOS)","Cover\0\500cc_Grand_Prix_(EDOS).jpg",0,""
14,77,2,0,"Cover (US Gold)","Cover\0\720_Degrees_(US_Gold).jpg",0,""
15,77,5,0,"Cover [Giants]","Cover\_\Giants.jpg",0,""
16,82,1,0,"Cover","Cover\A\Aardvark.jpg",0,""
17,98,3,0,"Cover","Cover\A\ACE_II.jpg",0,""
18,100,2,0,"Cover (US Gold)","Cover\A\Ace_of_Aces_(US_Gold).jpg",0,""
19,110,2,0,"Cover (MicroProse)","Cover\A\AcroJet_(MicroProse).jpg",0,""
20,111,3,0,"Cover","Cover\A\Action_Biker.jpg",0,""
21,117,3,0,"Cover (Cobra)","Cover\A\Action_Service_(Cobra).jpg",0,""
23,123,2,0,"Cover (Ocean)","Cover\A\Addams_Family_The_(Ocean).jpg",0,""
24,151,2,0,"Cover","Cover\A\Adventureland_SAGA1.jpg",0,""
25,166,3,0,"Cover (Activision)","Cover\A\Afterburner_(Activision).jpg",0,""
26,166,6,0,"Manual","Docs\A\Afterburner.txt",0,""
27,178,2,0,"Cover","Cover\A\Agent_X_II.jpg",0,""
28,189,2,0,"Cover","Cover\A\Airborne_Ranger_(MicroProse_v1).jpg",0,""
29,197,2,0,"Cover (Elite)","Cover\A\Airwolf_(Elite).jpg",0,""
30,219,2,0,"Manual","Docs\A\Alice_in_Wonderland.txt",0,""
31,220,2,0,"Cover (Mind Games)","Cover\A\Alien_(Mind_Games).jpg",0,""
32,224,0,0,"Manual p.1","gazette!\1985\05may\may85-AlienArmadaA.jpg",0,""
33,224,1,0,"Manual p.2","gazette!\1985\05may\may85-AlienArmadaB.jpg",0,""
34,239,3,0,"Cover (Mindscape)","Cover\A\Alien_Syndrome_(Mindscape).jpg",0,""
36,259,1,0,"Cover","Cover\A\Almazz.jpg",0,""
37,260,0,0,"Manual p.1","gazette!\1985\03mar\mar85-AlphaAnxietyA.jpg",0,""
38,260,1,0,"Manual p.2","gazette!\1985\03mar\mar85-AlphaAnxietyB.jpg",0,""
39,265,1,0,"Cover","Cover\A\Alter_Ego.jpg",0,""
40,267,2,0,"Cover (Activision)","Cover\A\Altered_Beast_(Activision).jpg",0,""
41,276,2,0,"Manual","Docs\A\Amazon.txt",0,""
42,280,4,0,"Cover","Cover\A\Attack_of_the_Mutant_Camels_(Llamasoft).jpg",0,""
43,280,8,0,"Manual","Docs\L\Llamasoft.txt",0,""
44,298,5,0,"Cover","Cover\A\Ancipital.jpg",0,""
45,298,10,0,"Manual","Docs\L\Llamasoft.txt",0,""
46,306,1,0,"Cover","Cover\A\Angle_Ball.jpg",0,""
47,307,0,0,"Manual","gazette!\1989\03mar\mar89-TheAnglers.jpg",0,""
48,309,0,0,"Manual","gazette!\1987\12dec\dec87-AnimalMatch.jpg",0,""
49,312,2,0,"Cover","Cover\A\Ankh.jpg",0,""
50,342,0,0,"Manual p.1","gazette!\1985\04apr\apr85-AppleHuntA.jpg",0,""
51,342,1,0,"Manual p.2","gazette!\1985\04apr\apr85-AppleHuntB.jpg",0,""
52,343,0,0,"Manual p.1","gazette!\1990\04apr\apr90-AppleWillieA.jpg",0,""
53,343,1,0,"Manual p.2","gazette!\1990\04apr\apr90-AppleWillieB.jpg",0,""
54,351,5,0,"Cover (Prism Leisure)","Cover\A\Arac_(Prism_Leisure).jpg",0,""
55,357,2,0,"Cover","Cover\A\Arc_of_Yesod_The.jpg",0,""
56,359,2,0,"Manual p.1","gazette!\1986\05may\may86-ArcadeBaseballA.jpg",0,""
