LA_Id,Language
1,"(Unknown)"
2,"English"
3,"German"
4,"French"
5,"Italian"
6,"Spanish"
7,"Dutch"
8,"Hungarian"
9,"English / German"
10,"Finnish"
11,"Multilanguage"
12,"English / Polish"
13,"Polish"
14,"English / Italian"
15,"Greek"
16,"Serbo-Croatian"
17,"Danish"
18,"English / Hungarian"
19,"English / Spanish"
20,"German / Italian"
21,"Swedish"
22,"English / (Unknown)"
23,"English / French"
24,"German / Dutch"
25,"English / Dutch"
26,"Turkish"
27,"Czech"
28,"Slovenian"
29,"(None)"
30,"French / German"
31,"Norwegian"
32,"Slovakian"
33,"English / Finnish"
34,"Iranian"
35,"Croatian"
36,"Russian"
37,"English / French / German"
38,"English / German / Polish"
39,"English / French / German / Italian / Spanish"
40,"English / German / Italian"
41,"French / German / Italian / Spanish"
42,"English / French / German / Italian / Dutch"
43,"English / German / Italian / Dutch"
44,"English / German / Dutch"
45,"English / French / German / Italian / Swedish"
46,"English / German / Norwegian"
47,"English / French / German / Swedish / Finnish"
48,"English / French / German / Dutch"
49,"English / French / German / Spanish"
50,"English / German / Hungarian"
51,"French / German / Spanish"
