GA_Id,Name,YE_Id,Comment,Filename,FileToRun,FilenameIndex,ScrnshotFilename,MU_Id,GE_Id,PU_Id,DI_Id,CR_Id,SidFilename,DateLastPlayed,TimesPlayed,CCode,HighScore,FA,SA,Fav,PR_Id,LA_Id,Extras,Classic,Rating,V_LoadingScreen,V_HighScoreSaver,V_IncludedDocs,V_PalNTSC,V_TrueDriveEmu,V_Length,V_Trainers,PlayersFrom,PlayersTo,PlayersSim,V_Comment,Adult,MemoText,Prequel,Sequel,Related,Control,CRC,Filesize,Version,Gemus,V_LengthType
1,"$100,000 Pyramid, The",28,"","0\100KPYRA_00001_01.zip","",0,"0\The_$100,000_Pyramid.png",39,46,92,8,69,"","",0,4,"",0,0,0,17,2,1,0,0,1,0,0,1,0,1,0,1,4,0,"",0,"",0,0,0,2,"",0,1,"",1
2,"10-Pin Bowling",24,"a.k.a. ""Bill Richie's 10-Pin Bowling""","0\10PINBOW_00002_01.zip","",0,"0\10-Pin_Bowling.png",39,28,1889,8,21,"","",0,4,"",0,0,0,3025,2,0,0,0,0,1,0,3,0,80,0,1,4,0,"",0,"",0,0,64,0,"",0,1,"",0
3,"10... Knockout!",25,"","0\10KNOCKO_00003_01.zip","",0,"0\10..._Knockout!.png",3504,66,546,8,7,"GAMES\0-9\10_Knockout_BASIC.sid","",0,4,"",0,0,0,23,2,0,0,0,0,0,0,3,0,193,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
4,"100 Meter Dash",5,"","0\100MDASH_00004_01.zip","",0,"0\100_Meter_Dash.png",39,26,37,8,59,"","",0,4,"",0,0,0,1,2,0,0,0,0,0,0,1,0,7,0,2,2,1,"",0,"",0,0,0,2,"",0,1,"",0
5,"100 Mile Race",26,"Commodore Microcomputers Magazine 1986/11-12, Loadstar #030","0\100MILER_00005_01.zip","",0,"0\100_Mile_Race.png",2008,109,2527,8,7,"","",0,4,"",0,0,0,894,2,0,0,0,0,0,1,3,0,50,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
6,"1000 Miglia Volume I - 1927-1933",32,"","0\1000MIGL_00006_01.zip","",0,"0\1000_Miglia_Volume_I_-_1927-1933.png",337,109,451,8,1184,"MUSICIANS\P\Palmonari_Stefano\1000_Miglia.sid","",0,4,"",0,0,0,510,14,1,0,0,1,0,0,1,0,518,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
7,"1000 Miles",2,"","0\1000MILE_00007_01.zip","",0,"0\1000_Miles.png",39,190,37,8,7,"","",0,4,"",0,0,0,2758,2,0,0,0,0,0,1,3,0,40,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
8,"10th Frame",26,"Commodore Format 1991/03 (Issue #06)","0\10THFRAM_00008_01.zip","",0,"0\10th_Frame.png",39,28,88,8,3,"","",0,4,"",0,0,0,275,2,1,0,0,1,0,1,3,0,142,0,1,8,0,"",0,"Original version protection note:
---------------------------------
The original disk came with a dongle that must be inserted in the tape drive port. On real hardware, if you have a datasette, you can just put in a tape and press play and it will pass the protection. 
When using WinVICE just ""insert"" a TAP image and ""start"" the datasette motor to bypass the protection.
The linked NIB file is the pure original version and the D64 has been patched to work without the dongle.",0,0,0,0,"",0,1,"",0
9,"15 Pietnastka",2,"","0\15PIETNA_00009_01.zip","",0,"0\15_Pietnastka.png",897,42,37,8,21,"MUSICIANS\S\Skull\Hidden_Ninja.sid","",0,4,"",0,0,0,4024,12,0,0,0,1,0,0,3,0,95,1,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
10,"15 Solitaire",34,"COMPUTE!'s Gazette 1994/07","0\15SOLITA_00010_01.zip","",0,"0\15_Solitaire.png",39,186,587,8,7,"","",0,4,"",0,0,0,1521,2,0,0,0,0,0,0,3,0,11,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
11,"15-Puzzle, The",27,"RUN 1987/10 (Issue #46)","0\15PUZZLE_00011_01.zip","",0,"0\The_15-Puzzle.png",39,42,2077,8,7,"","",0,4,"",0,0,0,3521,2,0,0,0,0,0,0,3,0,11,0,1,1,0,"",0,"",0,0,0,5,"",0,1,"",0
12,"17+4",31,"64'er 1992/01","0\17UND4V1_00012_01.zip","",0,"0\17_plus_4.png",39,187,1882,8,7,"","",0,4,"",0,0,0,895,3,0,0,0,0,0,0,3,0,6,0,1,1,0,"",0,"",0,0,0,0,"",0,1,"",0
13,"180",26,"","0\180_00013_01.zip","",0,"0\180.png",32,31,1649,8,3,"MUSICIANS\W\Whittaker_David\180.sid","",0,4,"",0,0,0,889,2,1,0,0,1,0,1,3,0,145,2,1,2,0,"",0,"",0,0,0,0,"",0,1,"",0
14,"19 Part One - Boot Camp",28,"","0\19BOOTC0_00014_01.zip","19BOOTC0.D64",0,"0\19_Part_One_-_Boot_Camp.png",33,2,107,8,22,"MUSICIANS\H\Hubbard_Rob\Nineteen.sid","",0,4,"",0,0,0,287,2,1,0,0,1,0,0,3,0,2,1,1,4,0,"levelpacked version also included on 2nd disk",0,"",0,0,0,0,"",0,1,"",1
15,"1942",26,"","0\1942!_00015_03.zip","",0,"0\1942_(Different_Release).png",37,7,40,8,1514,"MUSICIANS\C\Cooksey_Mark\1942.sid","",0,4,"",0,0,0,119,2,1,0,0,0,1,1,3,0,194,6,1,1,0,"",0,"",0,0,16,0,"",0,3,"",0
16,"1942",26,"","0\1942_00016_02.zip","",0,"0\1942.png",37,7,708,8,3,"MUSICIANS\C\Cooksey_Mark\1942.sid","",0,4,"",0,0,0,119,2,1,0,0,1,1,1,3,0,364,7,1,1,0,"2 versions (with different music)",0,"",0,0,15,0,"",0,2,"",0
17,"1943 - One Year After",27,"a.k.a. ""'43 - One Year After"" (title on ""4 Action Hits"" game compilation)","0\1943-OYA_00017_02.zip","",0,"0\1943_-_One_Year_After.png",38,7,377,8,81,"GAMES\0-9\1943-One_Year_After.sid","",0,4,"",0,0,0,1307,2,1,0,0,1,0,1,3,0,186,2,1,1,0,"",0,"",0,0,0,0,"",0,2,"",0
18,"1943 - The Battle of Midway",28,"","0\1943-BOM_00018_01.zip","",0,"0\1943_-_The_Battle_of_Midway.png",84,7,535,8,11,"MUSICIANS\T\Tait_Mark\1943.sid","",0,4,"",0,0,0,3879,2,1,0,0,1,1,1,3,0,148,5,1,2,1,"",0,"",0,0,0,0,"",0,1,"",0
