PU_Id,Publisher
32,"Mastertronic"
33,"Imagine"
34,"Thalamus"
35,"Melbourne House"
36,"Gremlin Graphics Software Ltd."
37,"(Unknown)"
38,"Lucasfilm Games [Activision]"
39,"(Not Published)"
40,"Elite"
41,"Codemasters"
42,"Firebird"
43,"Datasoft"
44,"System 3"
45,"Hewson Consultants Ltd."
46,"US Gold"
47,"Activision"
48,"Ocean"
49,"Odin Computer Graphics"
50,"Epyx"
52,"Anco"
53,"Infocom"
54,"Software Projects Ltd."
55,"Cinemaware"
56,"Domark"
57,"First Star Software"
58,"Martech"
59,"Alligata Software"
60,"Mirrorsoft Ltd."
61,"Cosmi"
62,"Palace Software"
63,"Go! [U.S. Gold]"
64,"Virgin Games"
65,"Mastertronic/Bulldog Software"
67,"NEXUS"
68,"Konami"
70,"Quicksilva [Argus Press Software]"
72,"Psygnosis"
74,"ImageWorks [Mirrorsoft]"
75,"Durell Software"
77,"Rainbow Arts/Time Warp Productions"
78,"Ultimate"
80,"Rainbow Arts"
82,"Zeppelin Games"
83,"Grandslam Entertainment Ltd."
84,"A&F Software"
85,"New Generation Software"
86,"Sydney Development"
87,"CRL (Computer Rentals Limited)"
88,"Access Software"
90,"Origin Systems, Inc."
92,"Box Office Software"
94,"Anirog Software"
96,"Electronic Arts/Ozark Softscape"
97,"RadarSoft"
99,"Nufekop Software"
100,"Magic Disk"
102,"MicroProse Software"
105,"Visions Software Factory"
106,"Accolade"
107,"Cascade Games Ltd."
109,"Dinamic Software"
110,"Synapse Software"
111,"Ariolasoft"
113,"Argus Press Software (APS)"
114,"Bubble Bus"
115,"Dk'Tronics Ltd."
116,"Electric Dreams Software"
117,"Artworx Software Company"
118,"Starlight Software"
119,"C. Disc Comp."
120,"Sierra Online, Inc."
122,"Thor Computer Software"
123,"Talent Computer Systems"
124,"Electronic Arts"
125,"Microdeal"
126,"Rino Marketing Ltd."
127,"Commodore"
128,"Xonox"
129,"Players Software"
131,"Channel 8 Software"
132,"Creative Software"
133,"Digital Integration"
135,"Phoenix Software Ltd."
136,"Mikro-Gen"
138,"EAS Software"
139,"Llamasoft"
140,"Double Density"
141,"ODE/Paragon Software"
142,"Thalion"
143,"Byte-Back/Daisysoft"
144,"Datamost, Inc."
145,"HG Software"
146,"Phantom Software"
147,"Monarch Software"
148,"Avalon Hill Microcomputer Games, Inc."
149,"Interstel"
150,"Talentebank/Cosmos Designs"
151,"Courbois Software"
152,"Castle Software, Inc."
153,"Sirius Software"
155,"PSS (Personal Software Services)"
158,"Tynesoft"
159,"Solar Software"
161,"Interdisc"
162,"Merlin Software"
163,"JetSoft"
164,"The Edge"
165,"E&J Software"
166,"Superior Software Ltd."
167,"Melbourne House/Beam Software"
168,"Beyond"
169,"Taskset"
170,"Zzap! 64"
172,"Colosoftware"
173,"Blaze Software"
174,"Probe Software"
175,"Magic Bytes"
176,"Hi-Tec Software"
177,"Beyond Belief"
182,"Arc Software"
183,"Supersoft"
184,"Gamestar"
185,"Ubi Soft"
187,"Muse Software"
189,"Windham Classics [Spinnaker Software]"
190,"ISA Software, Inc."
191,"Activision/Sportsware Productions"
193,"T&F Software"
194,"SDS"
196,"Kingsoft"
197,"Audiogenic Software Ltd."
199,"Gepo-Soft"
200,"Atari, Inc."
201,"Comm*Data"
204,"Interceptor"
206,"Brøderbund"
207,"K-Tel International (UK) Ltd."
208,"Leisure Genius"
209,"Magic Disk 64/CP Verlag"
210,"Incentive Software"
211,"Atlantis Software Ltd."
212,"Cable Software Ltd."
213,"Alternative Software"
215,"Logyk Software"
216,"Coric Soft"
217,"Titus Software"
219,"X-Ray"
221,"Cymbal Software, Inc."
223,"J. Morrison <Micros> Ltd."
224,"Micro Power"
227,"Rabbit Software"
228,"Tequila"
229,"Accelerated Software, Inc. (ASI)"
230,"Genias"
232,"Markt & Technik"
233,"Core Design Ltd./Genias"
236,"SSI (Strategic Simulations, Inc.)"
237,"Bad Bytes"
