YE_Id,Year
1,9991
2,9992
3,9993
4,9994
5,9995
6,9996
7,9997
8,9998
9,9999
10,1970
11,1971
12,1972
13,1973
14,1974
15,1975
16,1976
17,1977
18,1978
19,1979
20,1980
21,1981
22,1982
23,1983
24,1984
25,1985
26,1986
27,1987
28,1988
29,1989
30,1990
31,1991
32,1992
33,1993
34,1994
35,1995
36,1996
37,1997
38,1998
39,1999
40,2000
41,2001
42,2002
43,2003
44,2004
45,2005
46,2006
47,2007
48,2008
49,2009
50,2010
51,2011
52,2012
53,2013
54,2014
55,2015
56,2016
57,2017
58,2018
59,2019
60,2020
61,2021
62,2022
63,2023
64,2024
65,2025
66,2026
67,2027
68,2028
69,2029
70,2030
71,2031
72,2032
73,2033
74,2034
75,2035
76,2036
77,2037
78,2038
79,2039
80,2040
81,2041
82,2042
83,2043
84,2044
85,2045
86,2046
87,2047
88,2048
89,2049
90,2050
91,2051
92,2052
93,2053
94,2054
95,2055
96,2056
97,2057
98,2058
99,2059
100,2060
101,2061
102,2062
103,2063
104,2064
105,2065
106,2066
107,2067
108,2068
109,2069
110,2070
111,2071
112,2072
113,2073
114,2074
115,2075
116,2076
117,2077
118,2078
119,2079
120,2080
121,2081
122,2082
123,2083
124,2084
125,2085
126,2086
127,2087
128,2088
129,2089
130,2090
131,2091
132,2092
133,2093
134,2094
135,2095
136,2096
137,2097
138,2098
139,2099
140,2100
